"APC" "KRAS" "TP53" "PIK3CA" "Exist"
"279" 0 0 0 0 0
"280" 0.115030674846626 0 0.00920245398773006 0.0383435582822086 1
"281" 0.102693602693603 0 0.0117845117845118 0.0269360269360269 1
"282" 0 0 0 0 0
"283" 0 0 0 0 0
"284" 0 0 0 0 0
"285" 0 0 0 0 0
"286" 0.0358514724711908 0 0.00448143405889885 0.0243277848911652 1
"287" 0 0 0 0 0
"288" 0.0336856010568032 0.0059445178335535 0.011889035667107 0.0277410832232497 1
"289" 0.0242424242424242 0 0.00101010101010101 0.0454545454545455 1
"290" 0 0 0 0 0
"291" 0 0 0 0 0
"292" 0 0 0 0 0
"293" 0 0 0 0 0
"294" 0 0 0 0 0
"295" 0.0132596685082873 0.00497237569060773 0.00165745856353591 0.0154696132596685 1
"296" 0.035031847133758 0.0796178343949045 0.00636942675159236 0.0859872611464969 1
"297" 0.188766114180479 0.00644567219152855 0 0.0313075506445673 1
"298" 0.148809523809524 0.0136054421768707 0.0102040816326531 0.032312925170068 1
"299" 0.176119402985075 0.00746268656716418 0.0149253731343284 0.0597014925373134 1
"300" 0.0439632545931759 0.0026246719160105 0.00131233595800525 0.0275590551181102 1
"301" 0.3125 0 0 0.5 1
"302" 0.0580065359477125 0.00326797385620915 0.00898692810457517 0.0130718954248366 1
"303" 0.0638888888888889 0.00138888888888889 0.0173611111111111 0.00694444444444444 1
"304" 0 0 0 0.046875 1
"305" 0 0 0 0 0
"306" 0.0408163265306122 0 0 0 1
"307" 0 0 0 0 0
"308" 0 0 0 0 0
"309" 0.0694444444444445 0 0 0 1
"310" 0 0 0 0 0
"311" 0.0381799163179916 0 0 0.00993723849372385 1
"312" 0 0 0 0 0
"313" 0.121186440677966 0.00169491525423729 0.00169491525423729 0.0669491525423729 1
"314" 0.115027829313544 0.0120593692022263 0 0.0102040816326531 1
"315" 0.208571428571429 0 0 0.0257142857142857 1
"316" 0.040909090909091 0.00151515151515152 0 0.0621212121212122 1
"317" 0.0310734463276836 0.00211864406779661 0.00564971751412429 0.0077683615819209 1
"318" 0.233644859813084 0 0.0295950155763239 0.0607476635514019 1
"319" 0.168439716312057 0 0.0274822695035461 0.0576241134751773 1
"320" 0.0490367775831874 0 0.0157618213660245 0.0621716287215411 1
"321" 0.333333333333333 0 0 0 1
"322" 0.013437849944009 0.00223964165733483 0 0.0139977603583427 1
"323" 0 0 0 0 0
"324" 0.109677419354839 0 0.00483870967741935 0.0467741935483871 1
"325" 0 0 0 0 0
"326" 0 0 0.2 0.2 1
"327" 0 0 0 0 0
